"alcohol","volatile.acidity","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","bad"
10.5,0.21,0.038,41,150,0
9.4,0.22,0.056,112,177,0
9.5,0.26,0.045,62,209,0
10,0.16,0.049,59.5,137,0
9.4,0.29,0.209,62,156,1
10.3,0.21,0.039,55,140,0
11,0.39,0.037,29,131,0
11.9,0.12,0.018,15,37,0
9,0.15,0.051,29,149,0
9.9,0.33,0.05,20,93,1
10.1,0.16,0.054,41,224,1
12.3,0.43,0.039,24,98,0
13,0.15,0.03,19,84,0
9.4,0.29,0.044,48,197,1
9.4,0.18,0.048,36,125,0
11.8,0.52,0.034,37,156,0
12.3,0.34,0.029,21,94,0
11.5,0.29,0.044,41,117,1
9.3,0.32,0.054,6,97,1
12,0.25,0.031,31,92,0
12.1,0.32,0.026,34,124,0
10.4,0.22,0.041,67,164,0
11.1,0.27,0.038,32,138,0
10.9,0.3,0.028,23,122,0
10.4,0.32,0.034,13,84,1
12.4,0.37,0.028,42,162,0
9.7,0.35,0.038,22,111,1
9.3,0.4,0.048,11,138,1
9.1,0.2,0.048,36,159,0
9.8,0.43,0.04,54,159,0
9.4,0.28,0.04,48,184,1
9.4,0.4,0.065,42,178,1
8.8,0.2,0.054,50,221,0
9.4,0.26,0.049,55,182,0
11.4,0.16,0.037,18,102,0
12.7,0.32,0.036,15,70,0
9.6,0.26,0.068,5,55,1
9.2,0.16,0.045,38,126,1
9.3,0.39,0.098,13,91,1
9.7,0.35,0.049,7,119,0
9.1,0.26,0.047,60.5,156,0
10.2,0.16,0.04,41,143,0
10,0.21,0.053,40,199,1
12.4,0.58,0.02,33,96,0
10.8,0.15,0.039,21,177,1
8.8,0.23,0.047,37,133,1
11.3,0.23,0.027,43,104,0
10.6,0.29,0.04,20,142,1
9,0.23,0.051,33,118,0
10.2,0.31,0.045,20,77,1
8.5,0.36,0.054,11,107,1
10.1,0.25,0.049,50,125,0
9.3,0.23,0.053,16,92,1
9.4,0.33,0.065,29,119,1
9.2,0.34,0.082,47,240,1
12,0.39,0.02,38,133,0
10.4,0.23,0.052,23,118,0
10.1,0.24,0.043,32,156,0
10.1,0.26,0.043,47,155,0
9.8,0.46,0.051,56,171,0
9.9,0.35,0.051,86,213,0
9.5,0.21,0.056,26,111,1
9.7,0.43,0.05,7,175,1
9.3,0.24,0.05,65,179,0
8.7,0.46,0.05,76,192,1
9.3,0.19,0.061,46,149,0
9.6,0.16,0.057,50,185,0
9.5,0.27,0.044,53,202,1
10,0.26,0.057,48,127,0
8.6,0.34,0.039,41,151,1
9.2,0.25,0.048,50,228,0
10.7,0.2,0.04,27,103,0
9.5,0.41,0.032,25,98,1
9.8,0.34,0.04,70,230,0
10.2,0.21,0.053,53,145,0
12.05,0.2,0.015,20,98,0
13,0.28,0.024,27,99,0
10.5,0.23,0.046,47,159,0
11.1,0.23,0.032,60,156,0
10.4,0.17,0.121,32,162,0
9.9,0.28,0.041,32,161,0
10.1,0.26,0.042,47,130,0
9.3,0.32,0.041,66,188,1
8.9,0.3,0.045,38,127,0
9.5,0.2,0.042,45,124,0
11.2,0.34,0.031,20,68,0
12,0.31,0.026,15,87,1
10.5,0.23,0.03,27,80,1
9.7,0.18,0.028,36,117,0
11.8,0.14,0.035,16,85,0
12.5,0.24,0.037,11,95,0
10.4,0.33,0.036,30,134,0
9,0.22,0.063,48,191,0
9.7,0.26,0.051,53,187,1
12.6,0.4,0.038,20,125,0
10.3,0.29,0.033,43,208,1
8.6,0.22,0.092,30,123,0
11.2,0.3,0.018,23,127,0
11.3,0.13,0.043,52,131,0
9.7,0.23,0.038,54,191,0
14,0.29,0.025,12,120,0
12.6,0.37,0.029,27,87,0
9.4,0.28,0.046,59,194,1
8.7,0.36,0.051,60,134,1
11.9,0.18,0.041,42,167,1
11.1,0.21,0.026,40,104,0
10.8,0.18,0.04,16,75,1
10.5,0.19,0.06,48,174,0
9.7,0.34,0.035,31,185,1
9.4,0.23,0.172,63,158,0
11.4,0.33,0.167,20,94,0
9.3,0.16,0.13,58,140,0
10.5,0.415,0.04,11,64,1
11,0.275,0.038,28,114,0
9.5,0.185,0.048,36,110,0
12,0.2,0.038,34,116,0
10.4,0.23,0.042,25,139,0
